txid,timestamp,src_ip,src_port,dst_ip,dst_port,input_addresses,output_addresses,input_amounts,output_amounts,amount_btc,fee_btc,script_type,geo_country,asn
9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,2025-08-01 02:15:33,185.220.101.42,8333,192.168.1.100,18333,bc1qtorhopwalletxy2kgdygjrsqtzq2n0yrf2493,bc1qpeelchain01ar0srrr7xfkvy5l643lydnw9;bc1qchange01vza2e8x572ncvwljwpnyrs6zl0m5,8.45,4.0;4.45,8.450000,0.00085,P2WPKH,DE,60729
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2025-08-01 02:18:01,185.220.101.42,8333,10.0.0.55,18333,bc1qpeelchain01ar0srrr7xfkvy5l643lydnw9,bc1qtorhopwalletxy2kgdygjrsqtzq2n0yrf2493,4.0,0.125000,0.125000,0.00012,P2WPKH,DE,60729
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,2025-08-01 03:42:17,203.0.113.45,8333,198.51.100.77,18333,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa;bc1qtorhopwalletxy2kgdygjrsqtzq2n0yrf2493,3MixerHubAddr1xy2kgdygjrsqtzq2n0yrf2493p83,1.0;14.75,15.750000,15.750000,0.00250,P2SH,US,15169
a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,2025-08-01 04:05:22,203.0.113.45,8333,185.220.101.42,8333,3MixerHubAddr1xy2kgdygjrsqtzq2n0yrf2493p83,bc1qmixout01ar0srrr7xfkvy5l643lydnw9re59;1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2;bc1qmixout02vza2e8x572ncvwljwpnyrs6zl0;bc1qmixout03cr8te4kr504gcwm9shfunny2ey;bc1qmixout04d845w6r7q8x9y0z1a2b3c4d5;bc1qmixout051a2b3c4d5e6f7g8h9j0k1l2m3;bc1qmixout062b3c4d5e6f7g8h9j0k1l2m3n4;bc1qmixout073c4d5e6f7g8h9j0k1l2m3n4o5;bc1qmixout084d5e6f7g8h9j0k1l2m3n4o5p6;bc1qmixout095e6f7g8h9j0k1l2m3n4o5p6q7,12.3,1.2;1.1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0,12.300000,0.00800,P2SH,US,15169
b17ef6d19c7a5b1ee83b907c97fe9b3406e50061e18ebba9d7828d6d73d2d9c6,2025-08-02 14:30:00,172.16.0.10,8333,172.16.0.20,18333,bc1qmixout03cr8te4kr504gcwm9shfunny2ey,bc1qpeel02d845w6r7q8x9y0z1a2b3c4d5e6f7,0.5,0.5,0.500000,0.00005,P2WPKH,LOCAL,0
4523540f5e0f2f7b9b5c5e5a5e5f5a5b5c5d5e5f5a5b5c5d5e5f5a5b5c5d5e5f,2025-08-02 14:32:15,172.16.0.10,8333,172.16.0.30,18333,bc1qpeel02d845w6r7q8x9y0z1a2b3c4d5e6f7,bc1qpeel031a2b3c4d5e6f7g8h9j0k1l2m3n4o5,0.495,0.495,0.495000,0.00005,P2WPKH,LOCAL,0
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,2025-08-03 01:22:45,198.18.0.50,8333,10.10.10.5,18333,1BvBMSEYstWetqTFn5Au4m4GFg7xJaNVN2,bc1qtorhopwalletxy2kgdygjrsqtzq2n0yrf2493,25.0,25.0,25.000000,0.01500,P2PKH,US,6453
d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,2025-08-03 01:25:10,198.18.0.50,8333,10.10.10.5,18333,bc1qtorhopwalletxy2kgdygjrsqtzq2n0yrf2493,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,25.0,0.001,0.001000,0.00080,P2PKH,US,6453
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,2025-08-04 09:15:00,192.0.2.100,8333,192.0.2.200,18333,bc1qmixout02vza2e8x572ncvwljwpnyrs6zl0,bc1qmixout03cr8te4kr504gcwm9shfunny2ey,1.2,1.2,1.200000,0.00010,P2WPKH,US,3356
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,2025-08-04 09:20:00,192.0.2.100,8333,192.0.2.200,18333,bc1qmixout03cr8te4kr504gcwm9shfunny2ey,bc1qmixout02vza2e8x572ncvwljwpnyrs6zl0,1.15,1.15,1.150000,0.00010,P2WPKH,US,3356
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,2025-08-05 10:00:00,77.67.10.20,8333,81.2.50.100,18333,bc1qpeelchain01ar0srrr7xfkvy5l643lydnw9,bc1qnl2gbhop2b3c4d5e6f7g8h9j0k1l2m3n4,6.5,6.5,6.500000,0.00100,P2WPKH,NL,1136
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,2025-08-05 22:00:00,185.220.101.42,8333,203.0.113.45,8333,bc1qpeelchain01ar0srrr7xfkvy5l643lydnw9;bc1qmixout051a2b3c4d5e6f7g8h9j0k1l2m3,3MixerHubAddr1xy2kgdygjrsqtzq2n0yrf2493p83,3.0;3.8,6.800000,6.800000,0.00120,P2SH,DE,60729
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b23cd,2025-08-06 11:30:00,10.0.0.55,8333,172.16.0.10,18333,bc1qmixout062b3c4d5e6f7g8h9j0k1l2m3n4,bc1qdustprobe3c4d5e6f7g8h9j0k1l2m3n4o5,0.08,0.08,0.080000,0.00002,P2WPKH,LOCAL,0
2c26b46b68ffc68ff99b453c1d30413413422d706483bfa0f98a5e886266e7ae,2025-08-06 11:31:00,10.0.0.55,8333,172.16.0.10,18333,bc1qdustprobe3c4d5e6f7g8h9j0k1l2m3n4o5,bc1qdustprobe4d5e6f7g8h9j0k1l2m3n4o5p6,0.075,0.075,0.075000,0.00002,P2WPKH,LOCAL,0
fcde2b2edba56bf408601fb721fe9b5c338d10ee429ea04fae5511b68fbf8fb9,2025-08-07 03:00:00,198.51.100.77,8333,198.18.0.50,8333,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,bc1qwhaleout5e6f7g8h9j0k1l2m3n4o5p6q7;bc1qpeel02d845w6r7q8x9y0z1a2b3c4d5e6f7,50.0,25.0;25.0,50.000000,0.05000,P2PKH,US,7922
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,2025-08-08 16:45:00,172.16.0.20,8333,172.16.0.30,18333,bc1qdustprobe4d5e6f7g8h9j0k1l2m3n4o5p6,bc1qmixout062b3c4d5e6f7g8h9j0k1l2m3n4,2.5,2.5,2.500000,0.00025,P2WPKH,LOCAL,0
f1a2b3c4d5e6789012345678901234567890abcdef1234567890abcdef12abcd,2025-08-09 00:30:00,185.220.101.42,8333,10.0.0.99,18333,bc1qtorhopwalletxy2kgdygjrsqtzq2n0yrf2493;bc1qpeelchain01ar0srrr7xfkvy5l643lydnw9,3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,9.2;9.3,18.5,18.500000,0.00300,P2SH,DE,60729
a2b3c4d5e6789012345678901234567890abcdef1234567890abcdef1234abcd,2025-08-09 01:15:00,10.0.0.99,18333,203.0.113.45,8333,3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy,bc1qmixout02vza2e8x572ncvwljwpnyrs6zl0;bc1qmixout03cr8te4kr504gcwm9shfunny2ey;bc1qpeel02d845w6r7q8x9y0z1a2b3c4d5e6f7;bc1qmixout051a2b3c4d5e6f7g8h9j0k1l2m3;bc1qmixout062b3c4d5e6f7g8h9j0k1l2m3n4;bc1qdustprobe3c4d5e6f7g8h9j0k1l2m3n4o5;bc1qdustprobe4d5e6f7g8h9j0k1l2m3n4o5p6;bc1qwhaleout5e6f7g8h9j0k1l2m3n4o5p6q7;bc1qmixhop06f7g8h9j0k1l2m3n4o5p6q7r8;bc1qmixhop07g8h9j0k1l2m3n4o5p6q7r8s9,18.2,1.82;1.82;1.82;1.82;1.82;1.82;1.82;1.82;1.82;1.82,18.200000,0.01200,P2SH,LOCAL,0
